id,diamond_clarity,diamond_color,diamond_shape,carat_start,carat_end,factor
2295,VVS1,J,Pear,3.0,3.99,120.0
2297,VS1,J,Pear,3.0,3.99,105.0
2298,VS2,J,Pear,3.0,3.99,95.0
2301,SI3,J,Pear,3.0,3.99,54.0
2302,I1,J,Pear,3.0,3.99,42.0
2303,I2,J,Pear,3.0,3.99,23.0
2304,I3,J,Pear,3.0,3.99,12.0
2305,IF,K,Pear,3.0,3.99,100.0
2306,VVS1,K,Pear,3.0,3.99,95.0
2307,VVS2,K,Pear,3.0,3.99,90.0
2308,VS1,K,Pear,3.0,3.99,85.0
2309,VS2,K,Pear,3.0,3.99,80.0
2310,SI1,K,Pear,3.0,3.99,72.0
2311,SI2,K,Pear,3.0,3.99,65.0
2312,SI3,K,Pear,3.0,3.99,47.0
2313,I1,K,Pear,3.0,3.99,38.0
2314,I2,K,Pear,3.0,3.99,22.0
2316,IF,L,Pear,3.0,3.99,68.0
2317,VVS1,L,Pear,3.0,3.99,65.0
2318,VVS2,L,Pear,3.0,3.99,62.0
2319,VS1,L,Pear,3.0,3.99,59.0
2320,VS2,L,Pear,3.0,3.99,56.0
2321,SI1,L,Pear,3.0,3.99,53.0
2322,SI2,L,Pear,3.0,3.99,48.0
2323,SI3,L,Pear,3.0,3.99,40.0
2324,I1,L,Pear,3.0,3.99,35.0
2325,I2,L,Pear,3.0,3.99,20.0
2326,I3,L,Pear,3.0,3.99,11.0
2327,IF,M,Pear,3.0,3.99,57.0
2328,VVS1,M,Pear,3.0,3.99,55.0
2329,VVS2,M,Pear,3.0,3.99,53.0
2330,VS1,M,Pear,3.0,3.99,51.0
2331,VS2,M,Pear,3.0,3.99,49.0
2333,SI2,M,Pear,3.0,3.99,40.0
2334,SI3,M,Pear,3.0,3.99,35.0
2335,I1,M,Pear,3.0,3.99,30.0
2336,I2,M,Pear,3.0,3.99,18.0
2337,I3,M,Pear,3.0,3.99,10.0
2338,IF,D,Pear,4.0,4.99,600.0
2339,VVS1,D,Pear,4.0,4.99,480.0
2340,VVS2,D,Pear,4.0,4.99,440.0
2341,VS1,D,Pear,4.0,4.99,410.0
2342,VS2,D,Pear,4.0,4.99,360.0
2343,SI1,D,Pear,4.0,4.99,220.0
2345,SI3,D,Pear,4.0,4.99,90.0
2346,I1,D,Pear,4.0,4.99,69.0
2347,I2,D,Pear,4.0,4.99,35.0
2348,I3,D,Pear,4.0,4.99,19.0
2349,IF,E,Pear,4.0,4.99,470.0
2351,VVS2,E,Pear,4.0,4.99,415.0
2352,VS1,E,Pear,4.0,4.99,375.0
2353,VS2,E,Pear,4.0,4.99,335.0
2354,SI1,E,Pear,4.0,4.99,210.0
2356,SI3,E,Pear,4.0,4.99,87.0
2357,I1,E,Pear,4.0,4.99,66.0
2358,I2,E,Pear,4.0,4.99,33.0
2359,I3,E,Pear,4.0,4.99,17.0
2360,IF,F,Pear,4.0,4.99,430.0
2361,VVS1,F,Pear,4.0,4.99,410.0
2362,VVS2,F,Pear,4.0,4.99,375.0
2363,VS1,F,Pear,4.0,4.99,340.0
2364,VS2,F,Pear,4.0,4.99,295.0
2365,SI1,F,Pear,4.0,4.99,195.0
2266,SI1,G,Pear,3.0,3.99,144.0
2399,SI2,I,Pear,4.0,4.99,109.0
2410,SI2,J,Pear,4.0,4.99,98.0
2453,SI1,D,Pear,5.0,5.99,305.0
2454,SI2,D,Pear,5.0,5.99,205.0
2465,SI2,E,Pear,5.0,5.99,195.0
2476,SI2,F,Pear,5.0,5.99,185.0
2367,SI3,F,Pear,4.0,4.99,84.0
2368,I1,F,Pear,4.0,4.99,62.0
2369,I2,F,Pear,4.0,4.99,31.0
2370,I3,F,Pear,4.0,4.99,16.0
2371,IF,G,Pear,4.0,4.99,365.0
2372,VVS1,G,Pear,4.0,4.99,330.0
2373,VVS2,G,Pear,4.0,4.99,310.0
2374,VS1,G,Pear,4.0,4.99,290.0
2375,VS2,G,Pear,4.0,4.99,250.0
2376,SI1,G,Pear,4.0,4.99,175.0
2377,SI2,G,Pear,4.0,4.99,128.0
2379,I1,G,Pear,4.0,4.99,58.0
2380,I2,G,Pear,4.0,4.99,29.0
2381,I3,G,Pear,4.0,4.99,15.0
2382,IF,H,Pear,4.0,4.99,300.0
2383,VVS1,H,Pear,4.0,4.99,280.0
2384,VVS2,H,Pear,4.0,4.99,260.0
2385,VS1,H,Pear,4.0,4.99,240.0
2386,VS2,H,Pear,4.0,4.99,210.0
2387,SI1,H,Pear,4.0,4.99,155.0
2389,SI3,H,Pear,4.0,4.99,75.0
2390,I1,H,Pear,4.0,4.99,55.0
2391,I2,H,Pear,4.0,4.99,27.0
2392,I3,H,Pear,4.0,4.99,14.0
2393,IF,I,Pear,4.0,4.99,210.0
2394,VVS1,I,Pear,4.0,4.99,200.0
2395,VVS2,I,Pear,4.0,4.99,190.0
2397,VS2,I,Pear,4.0,4.99,170.0
2398,SI1,I,Pear,4.0,4.99,135.0
2400,SI3,I,Pear,4.0,4.99,69.0
2401,I1,I,Pear,4.0,4.99,52.0
2402,I2,I,Pear,4.0,4.99,26.0
2403,I3,I,Pear,4.0,4.99,14.0
2404,IF,J,Pear,4.0,4.99,165.0
2405,VVS1,J,Pear,4.0,4.99,155.0
2406,VVS2,J,Pear,4.0,4.99,145.0
2407,VS1,J,Pear,4.0,4.99,140.0
2408,VS2,J,Pear,4.0,4.99,130.0
2411,SI3,J,Pear,4.0,4.99,62.0
2412,I1,J,Pear,4.0,4.99,48.0
2413,I2,J,Pear,4.0,4.99,24.0
2414,I3,J,Pear,4.0,4.99,13.0
2415,IF,K,Pear,4.0,4.99,130.0
2417,VVS2,K,Pear,4.0,4.99,115.0
2418,VS1,K,Pear,4.0,4.99,110.0
2419,VS2,K,Pear,4.0,4.99,100.0
2420,SI1,K,Pear,4.0,4.99,90.0
2421,SI2,K,Pear,4.0,4.99,83.0
2422,SI3,K,Pear,4.0,4.99,55.0
2423,I1,K,Pear,4.0,4.99,44.0
2424,I2,K,Pear,4.0,4.99,23.0
2425,I3,K,Pear,4.0,4.99,13.0
2426,IF,L,Pear,4.0,4.99,85.0
2427,VVS1,L,Pear,4.0,4.99,82.0
2428,VVS2,L,Pear,4.0,4.99,80.0
2429,VS1,L,Pear,4.0,4.99,75.0
2430,VS2,L,Pear,4.0,4.99,70.0
2431,SI1,L,Pear,4.0,4.99,66.0
2432,SI2,L,Pear,4.0,4.99,62.0
2434,I1,L,Pear,4.0,4.99,38.0
2435,I2,L,Pear,4.0,4.99,21.0
2436,I3,L,Pear,4.0,4.99,12.0
2437,IF,M,Pear,4.0,4.99,70.0
2438,VVS1,M,Pear,4.0,4.99,67.0
2439,VVS2,M,Pear,4.0,4.99,63.0
2440,VS1,M,Pear,4.0,4.99,60.0
2441,VS2,M,Pear,4.0,4.99,58.0
2442,SI1,M,Pear,4.0,4.99,55.0
2443,SI2,M,Pear,4.0,4.99,52.0
2444,SI3,M,Pear,4.0,4.99,38.0
2445,I1,M,Pear,4.0,4.99,32.0
2446,I2,M,Pear,4.0,4.99,19.0
2447,I3,M,Pear,4.0,4.99,11.0
2448,IF,D,Pear,5.0,5.99,930.0
2449,VVS1,D,Pear,5.0,5.99,690.0
2451,VS1,D,Pear,5.0,5.99,590.0
2452,VS2,D,Pear,5.0,5.99,470.0
2455,SI3,D,Pear,5.0,5.99,105.0
2456,I1,D,Pear,5.0,5.99,80.0
2457,I2,D,Pear,5.0,5.99,38.0
2458,I3,D,Pear,5.0,5.99,19.0
2459,IF,E,Pear,5.0,5.99,660.0
2460,VVS1,E,Pear,5.0,5.99,630.0
2461,VVS2,E,Pear,5.0,5.99,600.0
2462,VS1,E,Pear,5.0,5.99,540.0
2463,VS2,E,Pear,5.0,5.99,440.0
2464,SI1,E,Pear,5.0,5.99,285.0
2466,SI3,E,Pear,5.0,5.99,100.0
2467,I1,E,Pear,5.0,5.99,75.0
2468,I2,E,Pear,5.0,5.99,36.0
2469,I3,E,Pear,5.0,5.99,17.0
2471,VVS1,F,Pear,5.0,5.99,560.0
2472,VVS2,F,Pear,5.0,5.99,530.0
2473,VS1,F,Pear,5.0,5.99,475.0
2474,VS2,F,Pear,5.0,5.99,385.0
2475,SI1,F,Pear,5.0,5.99,265.0
2477,SI3,F,Pear,5.0,5.99,95.0
2478,I1,F,Pear,5.0,5.99,70.0
2479,I2,F,Pear,5.0,5.99,34.0
2480,I3,F,Pear,5.0,5.99,16.0
2481,IF,G,Pear,5.0,5.99,470.0
2482,VVS1,G,Pear,5.0,5.99,440.0
2483,VVS2,G,Pear,5.0,5.99,410.0
2484,VS1,G,Pear,5.0,5.99,380.0
2485,VS2,G,Pear,5.0,5.99,315.0
2388,SI2,H,Pear,4.0,4.99,120.0
2497,SI1,H,Pear,5.0,5.99,205.0
2508,SI1,I,Pear,5.0,5.99,175.0
2509,SI2,I,Pear,5.0,5.99,143.0
2520,SI2,J,Pear,5.0,5.99,129.0
2563,SI1,D,Pear,10.0,10.99,485.0
2564,SI2,D,Pear,10.0,10.99,330.0
2575,SI2,E,Pear,10.0,10.99,310.0
2596,SI1,G,Pear,10.0,10.99,385.0
2488,SI3,G,Pear,5.0,5.99,90.0
2489,I1,G,Pear,5.0,5.99,65.0
2490,I2,G,Pear,5.0,5.99,32.0
2491,I3,G,Pear,5.0,5.99,16.0
2492,IF,H,Pear,5.0,5.99,390.0
2493,VVS1,H,Pear,5.0,5.99,360.0
2494,VVS2,H,Pear,5.0,5.99,330.0
2495,VS1,H,Pear,5.0,5.99,305.0
2496,VS2,H,Pear,5.0,5.99,270.0
2500,I1,H,Pear,5.0,5.99,62.0
2501,I2,H,Pear,5.0,5.99,30.0
2502,I3,H,Pear,5.0,5.99,15.0
2503,IF,I,Pear,5.0,5.99,285.0
2504,VVS1,I,Pear,5.0,5.99,275.0
2505,VVS2,I,Pear,5.0,5.99,250.0
2506,VS1,I,Pear,5.0,5.99,230.0
2507,VS2,I,Pear,5.0,5.99,210.0
2510,SI3,I,Pear,5.0,5.99,80.0
2511,I1,I,Pear,5.0,5.99,59.0
2512,I2,I,Pear,5.0,5.99,28.0
2513,I3,I,Pear,5.0,5.99,15.0
2514,IF,J,Pear,5.0,5.99,205.0
2515,VVS1,J,Pear,5.0,5.99,200.0
2516,VVS2,J,Pear,5.0,5.99,190.0
2517,VS1,J,Pear,5.0,5.99,170.0
2519,SI1,J,Pear,5.0,5.99,150.0
2521,SI3,J,Pear,5.0,5.99,72.0
2522,I1,J,Pear,5.0,5.99,54.0
2523,I2,J,Pear,5.0,5.99,26.0
2524,I3,J,Pear,5.0,5.99,14.0
2525,IF,K,Pear,5.0,5.99,160.0
2526,VVS1,K,Pear,5.0,5.99,155.0
2527,VVS2,K,Pear,5.0,5.99,145.0
2528,VS1,K,Pear,5.0,5.99,135.0
2529,VS2,K,Pear,5.0,5.99,130.0
2530,SI1,K,Pear,5.0,5.99,115.0
2531,SI2,K,Pear,5.0,5.99,98.0
2532,SI3,K,Pear,5.0,5.99,65.0
2533,I1,K,Pear,5.0,5.99,51.0
2534,I2,K,Pear,5.0,5.99,25.0
2535,I3,K,Pear,5.0,5.99,14.0
2537,VVS1,L,Pear,5.0,5.99,105.0
2538,VVS2,L,Pear,5.0,5.99,100.0
2539,VS1,L,Pear,5.0,5.99,95.0
2540,VS2,L,Pear,5.0,5.99,90.0
2541,SI1,L,Pear,5.0,5.99,85.0
2542,SI2,L,Pear,5.0,5.99,78.0
2543,SI3,L,Pear,5.0,5.99,56.0
2544,I1,L,Pear,5.0,5.99,47.0
2545,I2,L,Pear,5.0,5.99,23.0
2546,I3,L,Pear,5.0,5.99,13.0
2547,IF,M,Pear,5.0,5.99,95.0
2548,VVS1,M,Pear,5.0,5.99,90.0
2549,VVS2,M,Pear,5.0,5.99,85.0
2550,VS1,M,Pear,5.0,5.99,80.0
2551,VS2,M,Pear,5.0,5.99,75.0
2552,SI1,M,Pear,5.0,5.99,70.0
2554,SI3,M,Pear,5.0,5.99,50.0
2555,I1,M,Pear,5.0,5.99,38.0
2556,I2,M,Pear,5.0,5.99,21.0
2557,I3,M,Pear,5.0,5.99,12.0
2558,IF,D,Pear,10.0,10.99,1580.0
2559,VVS1,D,Pear,10.0,10.99,1140.0
2560,VVS2,D,Pear,10.0,10.99,1030.0
2561,VS1,D,Pear,10.0,10.99,960.0
2562,VS2,D,Pear,10.0,10.99,790.0
2565,SI3,D,Pear,10.0,10.99,155.0
2566,I1,D,Pear,10.0,10.99,99.0
2567,I2,D,Pear,10.0,10.99,53.0
2568,I3,D,Pear,10.0,10.99,23.0
2569,IF,E,Pear,10.0,10.99,1120.0
2570,VVS1,E,Pear,10.0,10.99,1020.0
2571,VVS2,E,Pear,10.0,10.99,940.0
2573,VS2,E,Pear,10.0,10.99,740.0
2574,SI1,E,Pear,10.0,10.99,450.0
2576,SI3,E,Pear,10.0,10.99,145.0
2577,I1,E,Pear,10.0,10.99,95.0
2578,I2,E,Pear,10.0,10.99,50.0
2579,I3,E,Pear,10.0,10.99,22.0
2580,IF,F,Pear,10.0,10.99,950.0
2581,VVS1,F,Pear,10.0,10.99,890.0
2582,VVS2,F,Pear,10.0,10.99,850.0
2583,VS1,F,Pear,10.0,10.99,740.0
2584,VS2,F,Pear,10.0,10.99,640.0
2585,SI1,F,Pear,10.0,10.99,420.0
2586,SI2,F,Pear,10.0,10.99,290.0
2587,SI3,F,Pear,10.0,10.99,140.0
2588,I1,F,Pear,10.0,10.99,91.0
2589,I2,F,Pear,10.0,10.99,48.0
2591,IF,G,Pear,10.0,10.99,750.0
2592,VVS1,G,Pear,10.0,10.99,710.0
2593,VVS2,G,Pear,10.0,10.99,660.0
2594,VS1,G,Pear,10.0,10.99,630.0
2595,VS2,G,Pear,10.0,10.99,530.0
2597,SI2,G,Pear,10.0,10.99,270.0
2598,SI3,G,Pear,10.0,10.99,135.0
2599,I1,G,Pear,10.0,10.99,87.0
2600,I2,G,Pear,10.0,10.99,45.0
2601,I3,G,Pear,10.0,10.99,20.0
2602,IF,H,Pear,10.0,10.99,610.0
2603,VVS1,H,Pear,10.0,10.99,570.0
2604,VVS2,H,Pear,10.0,10.99,540.0
2605,VS1,H,Pear,10.0,10.99,510.0
2487,SI2,G,Pear,5.0,5.99,175.0
2669,SI1,J,Pear,0.25,0.29,10.0
2670,SI2,I,Pear,0.25,0.29,11.0
2671,SI2,J,Pear,0.25,0.29,9.0
2672,VS1,G,Pear,0.25,0.29,16.0
2673,VS1,H,Pear,0.25,0.29,15.0
2674,VS2,G,Pear,0.25,0.29,15.0
2675,VS2,H,Pear,0.25,0.29,14.0
2676,VVS1,E,Pear,0.25,0.29,23.0
2677,VVS1,F,Pear,0.25,0.29,20.0
2678,VVS2,E,Pear,0.25,0.29,20.0
2607,SI1,H,Pear,10.0,10.99,330.0
2679,VVS2,F,Pear,0.25,0.29,20.84
2608,SI2,H,Pear,10.0,10.99,245.0
2618,SI1,I,Pear,10.0,10.99,265.0
2619,SI2,I,Pear,10.0,10.99,220.0
2680,VS1,J,Round,0.25,0.3,23.54
160,IF,F,Round,0.4,0.49,37.45
2630,SI2,J,Pear,10.0,10.99,190.0
1,SI,IJ,Round,0.0,0.04,9.9
3,SI,IJ,Round,0.1,0.14,10.85
19,VVS,EF,Round,0.0,0.04,15.8
39,IF,E,Round,0.3,0.39,32.1
56,SI2,F,Round,0.3,0.39,21.4
73,VVS1,H,Round,0.3,0.39,26.75
92,I2,I,Round,0.3,0.39,7.49
107,VVS2,K,Round,0.3,0.39,17.12
128,VVS1,M,Round,0.3,0.39,16.05
147,I2,D,Round,0.4,0.49,12.84
166,SI2,F,Round,0.4,0.49,23.54
183,VVS1,H,Round,0.4,0.49,29.96
202,I2,I,Round,0.4,0.49,8.56
217,VVS2,K,Round,0.4,0.49,19.26
235,I2,L,Round,0.4,0.49,6.42
245,I1,M,Round,0.4,0.49,7.49
260,VVS1,E,Round,0.5,0.69,53.5
2606,VS2,H,Pear,10.0,10.99,430.0
2609,SI3,H,Pear,10.0,10.99,125.0
2610,I1,H,Pear,10.0,10.99,83.0
2611,I2,H,Pear,10.0,10.99,42.0
2612,I3,H,Pear,10.0,10.99,19.0
2613,IF,I,Pear,10.0,10.99,465.0
2614,VVS1,I,Pear,10.0,10.99,440.0
2615,VVS2,I,Pear,10.0,10.99,420.0
2616,VS1,I,Pear,10.0,10.99,370.0
2617,VS2,I,Pear,10.0,10.99,340.0
2620,SI3,I,Pear,10.0,10.99,115.0
2621,I1,I,Pear,10.0,10.99,78.0
2622,I2,I,Pear,10.0,10.99,40.0
2623,I3,I,Pear,10.0,10.99,18.0
2624,IF,J,Pear,10.0,10.99,340.0
2625,VVS1,J,Pear,10.0,10.99,330.0
2626,VVS2,J,Pear,10.0,10.99,310.0
2627,VS1,J,Pear,10.0,10.99,280.0
2628,VS2,J,Pear,10.0,10.99,260.0
2631,SI3,J,Pear,10.0,10.99,105.0
2632,I1,J,Pear,10.0,10.99,74.0
2633,I2,J,Pear,10.0,10.99,37.0
2634,I3,J,Pear,10.0,10.99,17.0
2635,IF,K,Pear,10.0,10.99,265.0
2636,VVS1,K,Pear,10.0,10.99,260.0
2637,VVS2,K,Pear,10.0,10.99,240.0
2638,VS1,K,Pear,10.0,10.99,230.0
2639,VS2,K,Pear,10.0,10.99,210.0
2640,SI1,K,Pear,10.0,10.99,180.0
2641,SI2,K,Pear,10.0,10.99,160.0
2642,SI3,K,Pear,10.0,10.99,95.0
2643,I1,K,Pear,10.0,10.99,70.0
2644,I2,K,Pear,10.0,10.99,34.0
2645,I3,K,Pear,10.0,10.99,16.0
2646,IF,L,Pear,10.0,10.99,180.0
2647,VVS1,L,Pear,10.0,10.99,170.0
2648,VVS2,L,Pear,10.0,10.99,165.0
2649,VS1,L,Pear,10.0,10.99,160.0
2650,VS2,L,Pear,10.0,10.99,150.0
2651,SI1,L,Pear,10.0,10.99,130.0
2652,SI2,L,Pear,10.0,10.99,115.0
2653,SI3,L,Pear,10.0,10.99,85.0
2654,I1,L,Pear,10.0,10.99,62.0
2655,I2,L,Pear,10.0,10.99,32.0
2656,I3,L,Pear,10.0,10.99,16.0
2657,IF,M,Pear,10.0,10.99,145.0
2658,VVS1,M,Pear,10.0,10.99,140.0
2659,VVS2,M,Pear,10.0,10.99,130.0
2660,VS1,M,Pear,10.0,10.99,120.0
2661,VS2,M,Pear,10.0,10.99,110.0
2662,SI1,M,Pear,10.0,10.99,100.0
2663,SI2,M,Pear,10.0,10.99,90.0
2664,SI3,M,Pear,10.0,10.99,70.0
2665,I1,M,Pear,10.0,10.99,53.0
2666,I2,M,Pear,10.0,10.99,30.0
2667,I3,M,Pear,10.0,10.99,15.0
2668,SI1,I,Pear,0.25,0.29,12.0
737,SI1,H,Round,1.5,1.99,95.23
859,SI2,I,Round,2.0,2.99,93.09
947,SI2,G,Round,3.0,3.99,149.8
1057,SI2,G,Round,4.0,4.99,181.9
1178,SI2,H,Round,5.0,5.99,208.65
1288,SI2,H,Round,10.0,10.99,310.3
1513,IF,I,Pear,0.4,0.49,20.0
1524,IF,J,Pear,0.4,0.49,18.0
2041,IF,G,Pear,1.5,1.99,102.0
2044,VS1,G,Pear,1.5,1.99,91.0
2080,SI2,J,Pear,1.5,1.99,47.0
2135,SI2,E,Pear,2.0,2.99,91.0
2155,VS2,G,Pear,2.0,2.99,123.0
2256,SI2,F,Pear,3.0,3.99,122.0
2277,SI1,H,Pear,3.0,3.99,124.0
2366,SI2,F,Pear,4.0,4.99,135.0
2409,SI1,J,Pear,4.0,4.99,113.0
2486,SI1,G,Pear,5.0,5.99,240.0
2498,SI2,H,Pear,5.0,5.99,160.0
2629,SI1,J,Pear,10.0,10.99,235.0
281,IF,G,Round,0.5,0.69,46.01
298,SI2,H,Round,0.5,0.69,26.75
315,VVS1,J,Round,0.5,0.69,29.96
334,I2,K,Round,0.5,0.69,10.7
349,VVS2,M,Round,0.5,0.69,19.26
352,SI1,M,Round,0.5,0.69,16.05
366,I1,D,Round,0.7,0.89,32.1
381,VVS1,F,Round,0.7,0.89,64.2
402,IF,H,Round,0.7,0.89,56.71
419,SI2,I,Round,0.7,0.89,31.03
436,VVS1,K,Round,0.7,0.89,32.1
455,I2,L,Round,0.7,0.89,11.77
469,VVS1,D,Round,0.9,0.99,121.98
480,VVS1,E,Round,0.9,0.99,107.0
500,I3,F,Round,0.9,0.99,14.98
517,SI1,H,Round,0.9,0.99,55.64
534,IF,J,Round,0.9,0.99,55.64
551,SI2,K,Round,0.9,0.99,33.17
568,VVS1,M,Round,0.9,0.99,35.31
586,I1,D,Round,1.0,1.49,50.29
596,SI3,E,Round,1.0,1.49,59.92
612,VVS1,G,Round,1.0,1.49,109.14
632,I3,H,Round,1.0,1.49,14.98
649,SI1,J,Round,1.0,1.49,56.71
666,IF,L,Round,1.0,1.49,51.36
683,SI2,M,Round,1.0,1.49,32.1
700,VVS1,E,Round,1.5,1.99,199.02
710,IF,F,Round,1.5,1.99,194.74
727,SI2,G,Round,1.5,1.99,80.25
744,VVS1,I,Round,1.5,1.99,96.3
770,SI1,K,Round,1.5,1.99,55.64
787,IF,M,Round,1.5,1.99,51.36
804,SI2,D,Round,2.0,2.99,128.4
748,SI1,I,Round,1.5,1.99,82.39
825,SI1,F,Round,2.0,2.99,144.45
842,IF,H,Round,2.0,2.99,181.9
860,SI3,I,Round,2.0,2.99,64.2
876,VVS1,K,Round,2.0,2.99,94.16
897,IF,M,Round,2.0,2.99,73.83
915,SI3,D,Round,3.0,3.99,101.65
931,VVS1,F,Round,3.0,3.99,454.75
940,I3,F,Round,3.0,3.99,20.33
959,SI3,H,Round,3.0,3.99,80.25
975,VVS1,J,Round,3.0,3.99,160.5
997,VVS1,L,Round,3.0,3.99,107.0
1016,I2,M,Round,3.0,3.99,26.75
1034,SI1,E,Round,4.0,4.99,278.2
1052,VVS1,G,Round,4.0,4.99,444.05
1061,I3,G,Round,4.0,4.99,21.4
1080,SI3,I,Round,4.0,4.99,85.6
1096,VVS1,K,Round,4.0,4.99,176.55
1117,IF,M,Round,4.0,4.99,117.7
1135,SI3,D,Round,5.0,5.99,123.05
1151,VVS1,F,Round,5.0,5.99,797.15
1173,VVS1,H,Round,5.0,5.99,460.1
1195,VVS1,J,Round,5.0,5.99,267.5
1215,I3,K,Round,5.0,5.99,19.26
1232,SI1,M,Round,5.0,5.99,101.65
1250,VVS1,E,Round,10.0,10.99,1358.9
1271,IF,G,Round,10.0,10.99,995.1
1200,SI2,J,Round,5.0,5.99,160.5
1304,IF,J,Round,10.0,10.99,438.7
1322,SI3,K,Round,10.0,10.99,107.0
1338,VVS1,M,Round,10.0,10.99,197.95
1358,I3,D,Pear,0.3,0.39,6.0
1375,SI1,F,Pear,0.3,0.39,15.0
1392,IF,H,Pear,0.3,0.39,18.0
1421,SI3,J,Pear,0.3,0.39,8.0
1438,VVS2,L,Pear,0.3,0.39,9.0
1455,I1,M,Pear,0.3,0.39,4.0
1472,VS1,E,Pear,0.4,0.49,24.0
1489,I2,F,Pear,0.4,0.49,8.0
1506,VS2,H,Pear,0.4,0.49,18.0
1526,VVS2,J,Pear,0.4,0.49,16.0
1529,SI1,J,Pear,0.4,0.49,13.0
1546,IF,L,Pear,0.4,0.49,12.0
1563,SI2,M,Pear,0.4,0.49,7.0
1580,VVS1,E,Pear,0.5,0.69,35.0
1597,SI3,F,Pear,0.5,0.69,18.0
1614,VVS2,H,Pear,0.5,0.69,26.0
1631,I1,I,Pear,0.5,0.69,13.0
1646,VVS1,K,Pear,0.5,0.69,16.0
1649,VS2,K,Pear,0.5,0.69,15.0
1666,I3,L,Pear,0.5,0.69,5.0
1683,SI1,D,Pear,0.7,0.89,42.0
1700,IF,F,Pear,0.7,0.89,48.0
1717,SI2,G,Pear,0.7,0.89,28.0
1734,VVS1,I,Pear,0.7,0.89,32.0
1751,SI3,J,Pear,0.7,0.89,18.0
1766,IF,L,Pear,0.7,0.89,20.0
1769,VS1,L,Pear,0.7,0.89,18.0
1786,I2,M,Pear,0.7,0.89,8.0
1803,VS2,E,Pear,0.9,0.99,55.0
1820,I3,F,Pear,0.9,0.99,10.0
1837,SI1,H,Pear,0.9,0.99,44.0
1854,IF,J,Pear,0.9,0.99,39.0
1871,SI2,K,Pear,0.9,0.99,25.0
1886,I3,L,Pear,0.9,0.99,7.0
1889,VVS2,M,Pear,0.9,0.99,20.0
1906,I1,D,Pear,1.0,1.49,34.0
1923,VS1,F,Pear,1.0,1.49,70.0
1940,I2,G,Pear,1.0,1.49,20.0
1957,VS2,I,Pear,1.0,1.49,47.0
1974,I3,J,Pear,1.0,1.49,9.0
1991,SI1,L,Pear,1.0,1.49,26.0
2021,VVS2,E,Pear,1.5,1.99,117.0
2038,I1,F,Pear,1.5,1.99,38.0
2071,I1,I,Pear,1.5,1.99,32.0
2093,I1,K,Pear,1.5,1.99,26.0
2110,VS1,M,Pear,1.5,1.99,29.0
2127,I2,D,Pear,2.0,2.99,28.0
2145,SI1,F,Pear,2.0,2.99,115.0
2170,I1,H,Pear,2.0,2.99,41.0
2193,I2,J,Pear,2.0,2.99,19.0
2210,VS2,L,Pear,2.0,2.99,42.0
2227,I3,M,Pear,2.0,2.99,9.0
2257,SI3,F,Pear,3.0,3.99,76.0
2276,VS2,H,Pear,3.0,3.99,145.0
2296,VVS2,J,Pear,3.0,3.99,110.0
2315,I3,K,Pear,3.0,3.99,12.0
2332,SI1,M,Pear,3.0,3.99,45.0
2350,VVS1,E,Pear,4.0,4.99,440.0
2378,SI3,G,Pear,4.0,4.99,79.0
2396,VS1,I,Pear,4.0,4.99,180.0
2416,VVS1,K,Pear,4.0,4.99,120.0
2433,SI3,L,Pear,4.0,4.99,45.0
2450,VVS2,D,Pear,5.0,5.99,630.0
2470,IF,F,Pear,5.0,5.99,590.0
2499,SI3,H,Pear,5.0,5.99,85.0
2518,VS2,J,Pear,5.0,5.99,160.0
2536,IF,L,Pear,5.0,5.99,115.0
2553,SI2,M,Pear,5.0,5.99,63.0
2572,VS1,E,Pear,10.0,10.99,870.0
2590,I3,F,Pear,10.0,10.99,21.0
