invoice_number,talley_invoice_date
148,2023-04-20
147,2020-03-31
146,2023-03-31
145,2023-03-31
144,2023-03-31
143,2023-03-31
142,2023-03-31
141,2023-03-31
140,2023-03-31
139,2023-03-30
138,2023-03-30
137,2023-03-30
136,2023-03-31
135,2023-03-30
134,2023-02-28
133,2023-02-28
132,2023-02-28
131,2023-02-11
130,2023-01-19
129,2023-01-12
128,2022-12-31
127,2022-12-31
126,2022-12-13
125,2022-12-13
124,2022-12-13
123,2022-11-27
122,2022-11-23
121,2022-11-21
120,2022-10-20
119,2022-10-14
118,2022-10-14
117,2022-10-14
116,2022-10-14
115,2022-10-08
114,2022-10-05
113,2022-09-29
112,2022-09-29
111,2022-09-21
110,2022-09-20
109,2022-09-14
108,2022-09-13
107,2022-08-04
106,2022-08-04
105,2022-08-04
104,2022-08-03
103,2022-08-03
102,2022-08-02
101,2022-08-02
100,2022-08-02
99,2022-06-13
98,2022-06-08
97,2022-05-31
96,2022-05-31
95,2022-05-31
94,2022-05-31
93,2022-05-18
92,2022-05-18
91,2022-04-30
90,2022-04-30
89,2022-04-30
88,2022-04-29
87,2022-04-25
86,2022-04-25
85,2022-04-14
84,2022-04-14
83,2022-04-14
82,2022-03-03
81,2022-03-03
80,2022-03-02
79,2022-03-02
79,2021-12-22
78,2022-02-16
77,2022-02-16
77,2021-12-08
76,2021-12-08
76,2022-02-14
75,2022-02-03
75,2021-12-07
74,2022-01-06
74,2021-11-24
73,2021-11-24
73,2021-12-31
72,2021-12-31
71,2021-12-28
71,2021-11-24
70,2021-11-24
70,2021-12-24
69,2021-12-20
68,2021-10-09
68,2021-11-10
67,2021-10-06
66,2021-10-06
65,2021-09-27
65,2021-09-17
64,2021-09-15
63,2021-09-14
63,2021-09-15
62,2021-09-10
62,2021-09-14
61,2021-09-10
61,2021-09-14
60,2021-09-08
59,2021-08-26
58,2021-08-07
57,2021-08-07
56,2021-08-07
55,2021-07-30
54,2021-07-27
53,2021-07-20
52,2021-07-06
51,2021-07-06
50,2021-06-24
49,2021-06-25
48,2021-06-25
47,2021-06-24
46,2021-06-21
45,2021-06-18
44,2021-06-10
43,2021-05-31
42,2021-05-31
41,2021-05-27
40,2021-05-24
39,2021-05-24
38,2021-05-20
37,2021-05-20
36,2021-05-20
35,2021-05-20
34,2021-05-15
33,2021-03-26
32,2021-03-23
31,2021-03-04
30,2021-02-27
29,2021-02-07
28,2021-02-06
27,2021-02-05
26,2021-02-05
25,2021-02-04
24,2021-02-01
23,2021-01-10
22,2021-01-08
21,2021-01-06
20,2021-01-04
19,2020-12-31
18,2020-12-28
17,2020-12-14
14,2020-11-30
13,2020-11-28
4,2020-08-04
3,2020-01-16
2,2020-08-04